mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score,mean_loss,std_folds,param_set_index
0.02696399688720703,0.005147527866928684,0.002329587936401367,0.00041714866340585423,0.2,3,200,"{'learning_rate': 0.2, 'max_depth': 3, 'n_estimators': 200}",-0.00298041549110322,-0.0037085575093998235,-0.0057365129251357085,-0.007604431719930661,-0.0035511592227262844,-0.004716215373659139,0.0017186350511339149,25,-0.002994756613380692,-0.003129049133051162,-0.003071424893586775,-0.0031071239103712066,-0.0031447903770458864,-0.003089428985487144,5.335682805487415e-05,0.004716215373659139,0.0017186350511339149,34
0.038122367858886716,0.0035383356535556537,0.002132081985473633,5.344546919565468e-05,0.2,3,400,"{'learning_rate': 0.2, 'max_depth': 3, 'n_estimators': 400}",-0.00298041549110322,-0.0037085581788902046,-0.005736476477015647,-0.007604335323953102,-0.0035511592227262844,-0.004716188938737691,0.0017185982457858752,21,-0.002994756613380692,-0.0031290501607092345,-0.003071424893586775,-0.0031071239103712066,-0.0031447903770458864,-0.003089429191018759,5.335698067387403e-05,0.004716188938737691,0.0017185982457858752,35
0.01617398262023926,0.005986891060284314,0.0019516944885253906,0.00017569149053111316,0.2,5,50,"{'learning_rate': 0.2, 'max_depth': 5, 'n_estimators': 50}",-0.002978111330099723,-0.003705265432412732,-0.0057395896578719355,-0.007606318964351369,-0.0035508157460986704,-0.004716020226166886,0.0017205333616044322,17,-0.0029947871419026785,-0.0031290455705217145,-0.0030714373555610244,-0.0031071209325327902,-0.0031447964515086066,-0.003089437490405363,5.33456878041737e-05,0.004716020226166886,0.0017205333616044322,36
0.016523456573486327,0.003247656817692342,0.0026576995849609377,0.0014020804400975224,0.2,5,100,"{'learning_rate': 0.2, 'max_depth': 5, 'n_estimators': 100}",-0.0029804168788410924,-0.0037085604383645513,-0.005736532668988546,-0.007604480416535197,-0.0035511612543150917,-0.004716230331408896,0.0017186528633884245,29,-0.002994759296883375,-0.003129049375422889,-0.0030714254642547957,-0.0031071246520957135,-0.0031447917110039693,-0.0030894300999321487,5.335619927041602e-05,0.004716230331408896,0.0017186528633884245,37
0.023662376403808593,0.003287105787406249,0.00206146240234375,0.00011089940705212311,0.2,5,200,"{'learning_rate': 0.2, 'max_depth': 5, 'n_estimators': 200}",-0.00298041549110322,-0.0037085575093998235,-0.0057365129251357085,-0.007604431719930661,-0.0035511592227262844,-0.004716215373659139,0.0017186350511339149,25,-0.002994756613380692,-0.003129049133051162,-0.003071424893586775,-0.0031071239103712066,-0.0031447903770458864,-0.003089428985487144,5.335682805487415e-05,0.004716215373659139,0.0017186350511339149,38
0.03911137580871582,0.006516062494863141,0.0021620750427246093,7.54104962992121e-05,0.2,5,400,"{'learning_rate': 0.2, 'max_depth': 5, 'n_estimators': 400}",-0.00298041549110322,-0.0037085581788902046,-0.005736476477015647,-0.007604335323953102,-0.0035511592227262844,-0.004716188938737691,0.0017185982457858752,21,-0.002994756613380692,-0.0031290501607092345,-0.003071424893586775,-0.0031071239103712066,-0.0031447903770458864,-0.003089429191018759,5.335698067387403e-05,0.004716188938737691,0.0017185982457858752,39
0.017462635040283205,0.005179902859512297,0.0020246028900146483,0.00012704049812436075,0.2,7,50,"{'learning_rate': 0.2, 'max_depth': 7, 'n_estimators': 50}",-0.002978111330099723,-0.003705265432412732,-0.0057395896578719355,-0.007606318964351369,-0.0035508157460986704,-0.004716020226166886,0.0017205333616044322,17,-0.0029947871419026785,-0.0031290455705217145,-0.0030714373555610244,-0.0031071209325327902,-0.0031447964515086066,-0.003089437490405363,5.33456878041737e-05,0.004716020226166886,0.0017205333616044322,40
0.016661405563354492,0.00402635647882301,0.002040672302246094,9.066157944512531e-05,0.2,7,100,"{'learning_rate': 0.2, 'max_depth': 7, 'n_estimators': 100}",-0.0029804168788410924,-0.0037085604383645513,-0.005736532668988546,-0.007604480416535197,-0.0035511612543150917,-0.004716230331408896,0.0017186528633884245,29,-0.002994759296883375,-0.003129049375422889,-0.0030714254642547957,-0.0031071246520957135,-0.0031447917110039693,-0.0030894300999321487,5.335619927041602e-05,0.004716230331408896,0.0017186528633884245,41
0.02619204521179199,0.004813777549250876,0.002727842330932617,0.0013470718046031949,0.2,7,200,"{'learning_rate': 0.2, 'max_depth': 7, 'n_estimators': 200}",-0.00298041549110322,-0.0037085575093998235,-0.0057365129251357085,-0.007604431719930661,-0.0035511592227262844,-0.004716215373659139,0.0017186350511339149,25,-0.002994756613380692,-0.003129049133051162,-0.003071424893586775,-0.0031071239103712066,-0.0031447903770458864,-0.003089428985487144,5.335682805487415e-05,0.004716215373659139,0.0017186350511339149,42
0.03721036911010742,0.002431979899612264,0.002134227752685547,8.07096157232438e-05,0.2,7,400,"{'learning_rate': 0.2, 'max_depth': 7, 'n_estimators': 400}",-0.00298041549110322,-0.0037085581788902046,-0.005736476477015647,-0.007604335323953102,-0.0035511592227262844,-0.004716188938737691,0.0017185982457858752,21,-0.002994756613380692,-0.0031290501607092345,-0.003071424893586775,-0.0031071239103712066,-0.0031447903770458864,-0.003089429191018759,5.335698067387403e-05,0.004716188938737691,0.0017185982457858752,43
0.016306734085083006,0.00353654779276611,0.002059602737426758,8.712972314593168e-05,0.2,9,50,"{'learning_rate': 0.2, 'max_depth': 9, 'n_estimators': 50}",-0.002978111330099723,-0.003705265432412732,-0.0057395896578719355,-0.007606318964351369,-0.0035508157460986704,-0.004716020226166886,0.0017205333616044322,17,-0.0029947871419026785,-0.0031290455705217145,-0.0030714373555610244,-0.0031071209325327902,-0.0031447964515086066,-0.003089437490405363,5.33456878041737e-05,0.004716020226166886,0.0017205333616044322,44
0.018935394287109376,0.005093121219191711,0.002012968063354492,0.00011165088856676425,0.2,9,100,"{'learning_rate': 0.2, 'max_depth': 9, 'n_estimators': 100}",-0.0029804168788410924,-0.0037085604383645513,-0.005736532668988546,-0.007604480416535197,-0.0035511612543150917,-0.004716230331408896,0.0017186528633884245,29,-0.002994759296883375,-0.003129049375422889,-0.0030714254642547957,-0.0031071246520957135,-0.0031447917110039693,-0.0030894300999321487,5.335619927041602e-05,0.004716230331408896,0.0017186528633884245,45
